id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
120,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
121,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
122,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
123,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
124,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,1,0,18
125,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
126,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
127,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
128,BRAGE TRADER,52434495,REPSOL,-1881188397,MONTROSE,463927351,5,0,13
129,BRAGE TRADER,52434495,REPSOL,-1881188397,GODWIN,2107739616,5,0,14
130,BRAGE TRADER,52434495,REPSOL,-1881188397,ARBROATH,-952916089,5,0,11
131,BRAGE TRADER,52434495,REPSOL,-1881188397,WOOD,2670253,5,0,12
132,BRAGE TRADER,52434495,REPSOL,-1881188397,CARNOUSTIE,-2071798339,5,0,10
133,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
134,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
135,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
136,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
137,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
138,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET A,-949074902,1,0,18
139,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,2,0,18
140,EDDA FERD,205022069,SHELL,78865936,GANNET G,-949074896,2,0,17
141,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,1,0,18
142,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,1,0,18
143,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,1,0,67
