id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
718,SKANDI RONA,-1354178746,SHELL,78865936,EGRET,65919135,7,0,4
719,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,7,0,21
720,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,7,0,3
721,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,7,0,20
722,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,7,0,1
723,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,7,0,2
724,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,7,0,18
725,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,4,0,5
726,ISLAND CHALLENGER,-1182779558,BP,2126,MADOES,-2028389875,4,0,66
727,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,4,0,6
728,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,4,0,64
729,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
730,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
731,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARKWRIGHT,68113087,3,0,8
732,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,3,0,12
733,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
734,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
735,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,4,0,20
736,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,4,0,18
737,SKANDI RONA,-1354178746,SHELL,78865936,EGRET,65919135,4,0,4
738,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,4,0,21
739,ISLAND CHALLENGER,-1182779558,BP,2126,MADOES,-2028389875,3,0,66
740,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,3,0,64
741,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,0,5
