id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
315,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,SHAW,2543947,2,0,9
316,GRAMPIAN SCEPTRE,398550601,BP,2126,MARNOCK-SKUA (oil),-1834447383,2,1,5
317,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,SHAW,2543947,2,0,9
318,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BRECHIN,859081663,2,0,7
319,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,ARBROATH,-952916089,2,0,11
320,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,MONTROSE,463927351,2,0,13
321,SKANDI BARRA,954942860,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,0,10
322,SKANDI BARRA,954942860,SHELL,78865936,SCOTER (oil),-1442538815,2,1,1
323,SKANDI BARRA,954942860,REPSOL,-1881188397,CARNOUSTIE,-2071798339,3,0,10
324,SKANDI BARRA,954942860,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,1,46
325,SKANDI BARRA,954942860,BP,2126,MONAN,73541657,3,1,64
326,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,CAYLEY,1980908645,3,0,15
327,VESTLAND MIRA,-1715940720,SHELL,78865936,GANNET E,-949074898,3,1,21
328,VESTLAND MIRA,-1715940720,SHELL,78865936,GANNET G,-949074896,3,1,17
329,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,1,0,14
330,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,2,0,14
331,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,1,6
332,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,MONTROSE,463927351,1,0,13
333,VESTLAND MIRA,-1715940720,NEXEN,74177002,BUZZARD,965041792,1,0,47
334,SKANDI BUCHAN,-443528389,BP,2126,MIRREN,-2020581755,2,0,65
335,SKANDI BUCHAN,-443528389,SHELL,78865936,GANNET C,-949074900,2,1,20
336,SKANDI BUCHAN,-443528389,BP,2126,MIRREN,-2020581755,2,0,65
337,SKANDI BUCHAN,-443528389,SHELL,78865936,GANNET D,-949074899,2,1,16
338,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
339,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET A,-949074902,2,1,18
340,SKANDI BUCHAN,-443528389,BP,2126,MONAN,73541657,3,0,64
341,SKANDI BUCHAN,-443528389,REPSOL,-1881188397,CARNOUSTIE,-2071798339,3,1,10
342,SKANDI BUCHAN,-443528389,NEXEN,74177002,BUZZARD,965041792,3,1,47
343,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (oil),-1834447383,2,0,5
344,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,GODWIN,2107739616,2,1,14
345,SKANDI BARRA,954942860,SHELL,78865936,GANNET E,-949074898,2,0,21
346,SKANDI BARRA,954942860,SHELL,78865936,GANNET G,-949074896,2,0,17
347,SKANDI BARRA,954942860,SHELL,78865936,GANNET E,-949074898,2,0,21
348,SKANDI BARRA,954942860,SHELL,78865936,GANNET D,-949074899,2,0,16
349,SKANDI CAPTAIN,-537194322,SHELL,78865936,HERON,68630420,3,0,3
350,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,ARBROATH,-952916089,3,1,11
351,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,CAYLEY,1980908645,3,1,15
352,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,4,0,20
353,SKANDI RONA,-1354178746,TOTAL,80012068,ELGIN,66057637,4,1,67
354,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,4,1,35
355,SKANDI RONA,-1354178746,REPSOL,-1881188397,BUCHAN,1970090533,4,1,41
356,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
357,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,SHAW,2543947,1,0,9
358,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,BRECHIN,859081663,2,0,7
359,VESTLAND MIRA,-1715940720,BP,2126,MIRREN,-2020581755,2,1,65
360,SKANDI BUCHAN,-443528389,REPSOL,-1881188397,CARNOUSTIE,-2071798339,1,0,10
361,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,GODWIN,2107739616,2,0,14
362,VESTLAND CETUS,-1663906517,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,1,46
363,BOURBON MONSOON,-376771394,NEXEN,74177002,ETTRICK,-701815836,1,0,45
364,VESTLAND MIRA,-1715940720,BP,2126,MIRREN,-2020581755,1,0,65
365,SKANDI BARRA,954942860,SHELL,78865936,GANNET D,-949074899,2,0,16
366,SKANDI BARRA,954942860,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,1,10
367,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,4,0,18
368,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,4,1,35
369,SKANDI RONA,-1354178746,REPSOL,-1881188397,ARBROATH,-952916089,4,1,11
370,SKANDI RONA,-1354178746,REPSOL,-1881188397,MONTROSE,463927351,4,1,13
371,VESTLAND CETUS,-1663906517,TOTAL,80012068,ELGIN,66057637,3,0,67
372,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,BRECHIN,859081663,3,1,7
373,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,3,1,47
374,SKANDI RONA,-1354178746,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
375,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
376,VESTLAND MIRA,-1715940720,NEXEN,74177002,ETTRICK,-701815836,2,1,45
377,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,SHAW,2543947,1,0,9
378,SKANDI BARRA,954942860,REPSOL,-1881188397,CARNOUSTIE,-2071798339,2,0,10
379,SKANDI BARRA,954942860,SHELL,78865936,SCOTER (oil),-1442538815,2,1,1
380,VESTLAND MIRA,-1715940720,REPSOL,-1881188397,GODWIN,2107739616,2,0,14
381,VESTLAND MIRA,-1715940720,SHELL,78865936,GANNET C,-949074900,2,1,20
382,VESTLAND CETUS,-1663906517,NEXEN,74177002,BUZZARD,965041792,1,0,47
383,BOURBON MONSOON,-376771394,NEXEN,74177002,GOLDEN EAGLE,1429227533,4,0,46
384,BOURBON MONSOON,-376771394,BP,2126,MIRREN,-2020581755,4,1,65
385,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,4,1,64
386,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET G,-949074896,4,1,17
387,BOURBON MONSOON,-376771394,BP,2126,MIRREN,-2020581755,2,0,65
388,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (oil),-1834447383,2,0,5
389,SKANDI CAPTAIN,-537194322,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
390,SKANDI CAPTAIN,-537194322,SHELL,78865936,GANNET E,-949074898,2,1,21
391,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BUCHAN,1970090533,7,0,41
392,BOURBON MONSOON,-376771394,REPSOL,-1881188397,BRECHIN,859081663,7,0,7
393,BOURBON MONSOON,-376771394,REPSOL,-1881188397,CAYLEY,1980908645,7,0,15
394,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,7,0,14
395,BOURBON MONSOON,-376771394,NEXEN,74177002,ETTRICK,-701815836,7,1,45
396,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,7,1,64
397,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET E,-949074898,7,1,21
398,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,1,0,12
399,SKANDI RONA,-1354178746,REPSOL,-1881188397,WOOD,2670253,6,0,12
400,SKANDI RONA,-1354178746,NEXEN,74177002,BUZZARD,965041792,6,1,47
401,SKANDI RONA,-1354178746,NEXEN,74177002,GOLDEN EAGLE,1429227533,6,1,46
402,SKANDI RONA,-1354178746,BP,2126,MIRREN,-2020581755,6,1,65
403,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,6,1,2
404,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,1,18
405,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,ARBROATH,-952916089,5,0,11
406,VESTLAND CETUS,-1663906517,REPSOL,-1881188397,CARNOUSTIE,-2071798339,5,0,10
407,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (cond),-1044193739,5,1,6
408,VESTLAND CETUS,-1663906517,BP,2126,MARNOCK-SKUA (oil),-1834447383,5,1,5
409,VESTLAND CETUS,-1663906517,TOTAL,80012068,ELGIN,66057637,5,1,67
410,BOURBON MONSOON,-376771394,REPSOL,-1881188397,GODWIN,2107739616,3,0,14
411,BOURBON MONSOON,-376771394,REPSOL,-1881188397,MONTROSE,463927351,3,0,13
412,BOURBON MONSOON,-376771394,SHELL,78865936,GANNET C,-949074900,3,1,20
413,SKANDI CAPTAIN,-537194322,BP,2126,MARNOCK-SKUA (oil),-1834447383,3,0,5
414,SKANDI CAPTAIN,-537194322,REPSOL,-1881188397,ARBROATH,-952916089,3,1,11
415,SKANDI CAPTAIN,-537194322,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,1,46
